id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,총액1인TOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
370.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,,,,8,9,3.00,1.00,1646.93,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,2.00
371.0,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,,,,1.0,2.0,14.0,,2.0,,,,,,,,,,,,,,,,79,80,13.00,1.00,8691.00,4.0,1.0,0.0,1.00,4.00,1.00,1.00,1.00,3.00
372.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,2.0,14.0,,1.0,,,,,,,,,,,,,,,,,8,9,3.00,1.00,1646.93,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,2.00
377.0,4.0,,,,1.0,1.0,2.0,,4.0,,,,,,,,,,,15.0,,,2.0,1.0,4.0,1.0,,3.0,,,,,,,,11.0,,13.0,,,,17.0,360,361,14.00,1.00,823.47,5.0,1.0,1.0,1.00,4.00,1.00,1.00,2.00,2.00
384.0,3.0,,,,1.0,,2.0,,,,,,,,,11.0,,,14.0,,,,14.0,11.0,2.0,,,3.0,,,,,,,,,,,,,,,45,46,12.00,,3000.00,5.0,1.0,1.0,1.00,4.00,8.00,4.00,1.00,3.00
386.0,4.0,,,,1.0,,2.0,,,,6.0,,,,,,,,,15.0,,,6.0,2.0,15.0,1.0,,,,,,,,,,,,,,,,,359,360,14.00,,15700.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,1.00,2.00
396.0,3.0,,,,2.0,,2.0,3.0,4.0,,,,,,,,,13.0,,,,,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,89,90,13.00,,2000.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,1.00
397.0,4.0,,,,1.0,1.0,2.0,,,,6.0,,,,,,,,,15.0,,,1.0,6.0,2.0,1.0,2.0,3.0,,,6.0,,8.0,,10.0,,,13.0,14.0,,,,329,330,14.00,1.00,1646.93,5.0,1.0,1.0,1.00,4.00,19.00,1.00,2.00,2.00
399.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,1.0,,,,,,,8.0,,,,,,,,,,24,25,11.00,1.00,7267.20,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,2.00
402.0,4.0,,,,1.0,1.0,2.0,,,,6.0,,,,,,,,,,16.0,,1.0,2.0,6.0,1.0,2.0,3.0,,,6.0,,8.0,,10.0,,,13.0,14.0,,,,329,330,14.00,1.00,1646.93,5.0,1.0,1.0,1.00,4.00,19.00,1.00,2.00,2.00
408.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,13.0,,15.0,,,4.0,1.0,11.0,1.0,2.0,,4.0,,6.0,,,,,,12.0,13.0,,15.0,16.0,17.0,364,365,14.00,1.00,17032.50,5.0,1.0,1.0,1.00,4.00,97.00,4.00,2.00,2.00
451.0,3.0,,,,1.0,,,,4.0,,,,,,,,,,14.0,,,,14.0,4.0,,1.0,,,,,,,,,,,,13.0,,,,,11,12,11.00,1.00,4542.00,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,3.00
467.0,2.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,3.0,,,,,,,,,,,,,,,59,60,12.00,,10000.00,5.0,1.0,1.0,1.00,4.00,14.00,2.00,2.00,5.00
471.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,3.0,,,,7.0,8.0,,,11.0,,,,,,,8.0,2.0,11.0,1.0,,3.0,,,,,,,,,,,,,,,35,36,12.00,1.00,3406.50,5.0,1.0,1.0,1.00,4.00,12.00,2.00,2.00,3.00
482.0,2.0,13.0,2.0,,1.0,,2.0,3.0,4.0,,,,,,,,,,,,,,2.0,4.0,3.0,,,,,,,,,,,11.0,,,,,,,120,121,14.00,,2244.00,5.0,1.0,1.0,1.00,4.00,19.00,1.00,2.00,3.00
489.0,3.0,,,,1.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,,2.0,,,,,,,,,,,,,,,,45,46,12.00,1.00,4000.00,5.0,1.0,1.0,1.00,4.00,9.00,3.00,1.00,2.00
494.0,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,,,,1.0,2.0,14.0,,,,,,,,,,,,,,,,,17.0,29,30,11.00,1.00,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,1.00,4.00
496.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,,6.0,7.0,8.0,9.0,,11.0,,13.0,,15.0,,,3.0,13.0,11.0,1.0,,,,,,,,,,,,,,15.0,,17.0,359,360,14.00,1.00,17270.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,1.00,2.00
507.0,2.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,59,60,12.00,,2355.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,5.00
512.0,4.0,,,,1.0,1.0,2.0,3.0,,,,,,,,11.0,,,,15.0,,,1.0,11.0,3.0,1.0,,,,,,,,,,,,13.0,,,,,59,60,12.00,1.00,4710.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,1.00,2.00
513.0,4.0,,,,1.0,1.0,2.0,3.0,,,6.0,,,9.0,,,12.0,,,15.0,,,1.0,2.0,12.0,1.0,,,,,,,,,,,,13.0,,,,17.0,89,90,13.00,1.00,4710.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
522.0,4.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,15.0,,,15.0,3.0,2.0,1.0,,,,,,,,,,,,13.0,,,,,25,26,11.00,1.00,7407.00,5.0,1.0,1.0,1.00,4.00,4.00,1.00,2.00,2.00
531.0,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,15.0,,,1.0,2.0,14.0,1.0,,,,,,,,,,,,,,,,,9,10,3.00,1.00,7407.00,5.0,1.0,1.0,1.00,4.00,4.00,1.00,2.00,2.00
532.0,3.0,,,,1.0,,,,,,,,,,,,,,14.0,,,,14.0,,,,2.0,,,,,,,,,,,,,,,,21,22,11.00,1.00,3000.00,4.0,1.0,0.0,1.00,4.00,9.00,3.00,1.00,4.00
533.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,,4.0,,,,,,,,,,,,,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,7,8,3.00,1.00,6500.00,5.0,1.0,1.0,1.00,4.00,4.00,1.00,2.00,3.00
541.0,1.0,1.0,2.0,4.0,1.0,,2.0,,4.0,,6.0,,,,,,,,,,,,2.0,4.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,6,7,2.00,1.00,740.70,5.0,1.0,1.0,1.00,4.00,4.00,1.00,1.00,3.00
545.0,2.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,35,36,12.00,,4117.33,5.0,1.0,1.0,1.00,4.00,8.00,4.00,1.00,2.00
546.0,3.0,,,,1.0,1.0,2.0,,,5.0,6.0,,,,,,,,14.0,,,,1.0,5.0,6.0,,,,,,,,,,,11.0,,13.0,,15.0,,,150,151,14.00,,5000.00,5.0,1.0,1.0,1.00,4.00,9.00,3.00,1.00,3.00
550.0,4.0,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,15.0,,,15.0,1.0,3.0,1.0,,,,,,,,,,,,,,,16.0,,31,32,12.00,,3703.50,5.0,1.0,1.0,1.00,4.00,4.00,1.00,1.00,2.00
551.0,1.0,3.0,7.0,5.0,1.0,,2.0,3.0,,5.0,,,,,,,,,,,,,3.0,2.0,5.0,1.0,,,,,,,,,,,,13.0,,,,,30,31,12.00,1.00,3703.50,5.0,1.0,1.0,1.00,4.00,4.00,1.00,2.00,2.00
555.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,13.0,,,,,30,31,12.00,1.00,3703.50,5.0,1.0,1.0,1.00,4.00,4.00,1.00,1.00,2.00
556.0,3.0,,,,1.0,1.0,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,1.0,,,,,,,,,,,,12.0,,,,,,32,33,12.00,1.00,7407.00,5.0,1.0,1.0,1.00,4.00,4.00,1.00,1.00,6.00
557.0,4.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,15.0,,,15.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,150,151,14.00,,5677.50,4.0,1.0,0.0,1.00,4.00,13.00,2.00,1.00,2.00
567.0,4.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,15.0,,,15.0,3.0,2.0,1.0,,,,,,,,9.0,,11.0,,13.0,,,,17.0,150,151,14.00,1.00,2157.30,5.0,1.0,1.0,1.00,4.00,7.00,1.00,2.00,2.00
568.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,11.0,12.0,,,15.0,,,6.0,4.0,3.0,1.0,,,4.0,,,,,,,,,13.0,,,16.0,17.0,150,151,14.00,,3355.80,5.0,1.0,1.0,1.00,4.00,7.00,1.00,2.00,2.00
577.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,4.0,3.0,5.0,1.0,,,,,,,,,10.0,11.0,,13.0,,,,17.0,150,151,14.00,1.00,2397.00,5.0,1.0,1.0,1.00,4.00,7.00,1.00,2.00,2.00
578.0,4.0,,,,1.0,,2.0,,,,,7.0,,,,,,,,15.0,,,15.0,2.0,7.0,1.0,,,,,,,,9.0,,11.0,,13.0,,,,17.0,150,151,14.00,1.00,2397.00,5.0,1.0,1.0,1.00,4.00,7.00,1.00,2.00,2.00
581.0,2.0,1.0,7.0,10.0,1.0,,2.0,3.0,,,6.0,,,9.0,,11.0,,,,,,,2.0,3.0,11.0,1.0,2.0,,,,,,,,,,12.0,,,,,,30,31,12.00,1.00,7000.00,5.0,1.0,1.0,1.00,4.00,9.00,3.00,1.00,2.00
599.0,3.0,,,,3.0,,2.0,,,,,,,,,,,,14.0,,,,14.0,2.0,,1.0,,,,,,,,,,,,,,,,,14,15,11.00,1.00,7407.00,5.0,1.0,1.0,1.00,4.00,4.00,1.00,2.00,2.00
600.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,15.0,,,5.0,6.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,179,180,14.00,,7850.00,4.0,1.0,0.0,1.00,4.00,2.00,1.00,2.00,2.00
601.0,3.0,,,,1.0,,,,,,,,,,,,,,14.0,,,,14.0,,,,,3.0,,,,,,,,,,,,,,,89,90,13.00,1.00,10000.00,5.0,1.0,1.0,1.00,4.00,9.00,3.00,1.00,6.00
607.0,4.0,,,,1.0,1.0,2.0,,,,,7.0,,,,,12.0,,,15.0,,,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,179,180,14.00,,10990.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
627.0,2.0,13.0,,,1.0,1.0,2.0,3.0,,,,,,,,,12.0,,,,,,12.0,2.0,1.0,,,,,,,,,,,,,,,,16.0,,100,101,14.00,,1496.00,5.0,1.0,1.0,1.00,4.00,19.00,1.00,2.00,4.00
628.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,13.0,,15.0,,,3.0,4.0,6.0,1.0,,3.0,,,,,,,,,,13.0,,,,17.0,119,120,14.00,,5677.50,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,2.00
634.0,3.0,,,,1.0,,2.0,3.0,,,,,,,,11.0,,,14.0,,,,14.0,2.0,3.0,,,,,,6.0,,,,,,,,,,,,59,60,12.00,1.00,7191.00,5.0,1.0,1.0,1.00,4.00,7.00,1.00,1.00,4.00
639.0,4.0,,,,1.0,,2.0,,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,15.0,6.0,4.0,,,,,5.0,,,8.0,9.0,,,,,,,,,270,271,14.00,,3870.29,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,2.00
647.0,4.0,,,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,11.0,12.0,,,15.0,,,5.0,2.0,3.0,1.0,,3.0,,,,,,,,11.0,,13.0,,,,17.0,180,181,14.00,,6813.00,5.0,1.0,1.0,1.00,4.00,12.00,2.00,2.00,2.00
