id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,ÃÑ¾×1ÀÎTOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
507,2,1,2,,1,1,2,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,59,60,12,,2355,5,1,1,1,4,2,1,2,5
533,1,2,1,3,1,1,2,,4,,,,,,,,,,,,,,1,2,4,1,,,,,,,,,,,,,,,,,7,8,3,1,6500,5,1,1,1,4,4,1,2,3
541,1,1,2,4,1,,2,,4,,6,,,,,,,,,,,,2,4,6,1,1,,,,,,,,,,,,,,,,6,7,2,1,740.7,5,1,1,1,4,4,1,1,3
545,2,1,2,,1,1,2,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,35,36,12,,4117.33,5,1,1,1,4,8,4,1,2
551,1,3,7,5,1,,2,3,,5,,,,,,,,,,,,,3,2,5,1,,,,,,,,,,,,1,,,,,30,31,12,1,3703.5,5,1,1,1,4,4,1,2,2
555,1,1,3,2,1,1,2,3,,,,,,,,,,,,,,,1,2,3,1,,,,,,,,,,,,1,,,,,30,31,12,1,3703.5,5,1,1,1,4,4,1,1,2
581,2,1,7,10,1,,2,3,,,6,,,9,,11,,,,,,,2,3,11,1,1,,,,,,,,,,1,,,,,,30,31,12,1,7000,5,1,1,1,4,9,3,1,2
627,2,13,,,1,1,2,3,,,,,,,,,12,,,,,,12,2,1,,,,,,,,,,,,,,,,1,,100,101,14,,1496,5,1,1,1,4,19,1,2,4
699,2,13,,,1,,2,3,,,,,,,,,,,,,,,2,3,,,,,,,,,,1,,,,,,,,,40,41,12,,5000,4,1,0,1,4,9,3,1,3
803,2,1,2,,1,1,2,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,89,90,13,,3925,3,0,0,1,4,2,1,2,6
804,2,2,1,3,1,1,2,,,,,,,,,,,,,,,17,17,2,1,,1,,,,,,,,,,,,,,,,250,251,14,,8234.65,5,1,1,1,4,2,1,1,2
